locationId,latitude,longitude,zip_code,health_score
01600879,40.1227589,-82.9794468,43085,81.6
01600880,40.5832812,-83.08624,43302,80.7
01600881,40.088852,-82.825837,43054,80.4
01600891,39.9827274,-82.0219037,43701,81.7
01600893,39.9343317,-82.985385,43207,81.2
01600895,41.6867137,-83.7243376,43560,80.2
01600897,39.9718358,-82.90313,43213,82.0
01600898,40.1569087,-83.0954752,43065,80.1
01600901,39.3356404,-82.069268,45701,76.9
01600907,41.6084028,-83.7099157,43528,80.1
01600920,40.1082451,-82.9275624,43081,80.1
01600926,40.0257641,-82.4452617,43056,80.3
01600931,39.716175,-82.579459,43130,81.7
01600938,41.6383707,-83.469893,43616,80.9
01600940,41.7148002,-83.6925293,43560,80.2
01600942,39.9926801,-83.0439606,43212,81.2
01600957,41.6873051,-83.6214643,43613,80.4
01600963,40.3744036,-80.7035521,43953,81.2
01600965,40.0845609,-82.8972695,43081,80.3
01600966,40.033495,-83.140566,43026,81.5
01600971,40.0320473,-83.0176247,43214,82.3
01600982,41.6114908,-83.6063349,43614,80.5
01600990,39.9311449,-83.0540544,43223,80.8
01600991,39.8313656,-82.9444667,43217,100.0
02100001,39.7892121,-86.1481049,46202,81.9
02100016,39.7757725,-86.2046486,46222,80.9
02100066,39.7526095,-86.2467582,46241,81.0
02100071,40.454248,-86.131256,46902,79.9
02100086,39.875377,-86.118948,46220,79.5
02100091,39.1598625,-86.5356065,47403,79.9
02100096,39.606164,-85.4430252,46173,79.8
02100100,39.7808002,-86.0419191,46219,81.2
02100109,40.492186,-86.166237,46901,79.9
02100110,39.7145622,-86.2350196,46221,79.8
02100116,39.7577922,-86.1149198,46203,80.1
02100118,39.712073,-86.3754749,46168,79.7
02100138,40.7568674,-86.7666627,47960,79.9
02100215,39.856306,-86.389359,46112,79.5
02100248,39.524706,-87.115888,47834,81.5
02100330,39.1877202,-86.5400509,47404,81.0
02100332,39.943416,-86.236097,46077,80.5
02100333,39.95092,-86.27676,46077,80.8
02100336,40.220425,-85.404581,47304,80.8
02100338,40.18764,-85.421457,47304,80.8
02100339,39.7751497,-86.1635739,46204,82.2
02100405,41.1153329,-85.1293036,46805,79.5
02100407,40.8195723,-84.9359387,46733,80.4
02100410,41.0177854,-85.1700156,46809,80.1
02100412,41.094969,-85.1573858,46808,79.5
02100414,40.7204247,-85.1672322,46714,79.8
02100418,41.453011,-85.2718497,46755,80.8
02100424,41.0766873,-85.2761883,46814,79.5
02100425,41.0999773,-85.0590253,46815,79.9
02100427,41.0523808,-86.2208984,46975,80.0
02100500,39.799522,-86.261061,46224,79.9
02100710,39.2280428,-85.9023068,47201,81.4
02100735,39.562096,-86.155648,46143,79.8
02100804,39.8848466,-86.0689009,46220,79.5
02100814,40.133221,-85.661176,46012,79.9
02100816,40.05763,-85.6565806,46013,79.7
02100820,39.7792825,-86.0936388,46201,80.3
02100822,40.3861525,-86.9025379,47909,81.3
02100824,40.4553245,-86.9174333,47906,79.3
02100827,40.389134,-86.845213,47905,79.5
02100837,41.239491,-85.826686,46580,78.9
02100841,40.8998128,-85.5082001,46750,81.7
02100842,41.4582556,-85.5849008,46767,80.9
02100843,40.4336444,-86.8699777,47904,79.4
02100848,40.0855707,-85.6784333,46016,79.6
02100857,41.0688777,-85.0412966,46774,79.8
02100862,39.861992,-85.97021,46236,80.7
02100864,39.583908,-86.102744,46143,81.5
02100869,39.9577601,-85.9186702,46037,79.5
02100874,41.1718108,-85.4824052,46725,80.9
02100875,40.8158535,-85.8337123,46992,83.6
02100879,41.5873538,-85.844172,46526,81.4
02100886,41.661767,-85.9662341,46517,80.9
02100889,41.6812511,-86.1957761,46545,80.6
02100890,39.818066,-86.004202,46235,100.0
02100894,39.6394349,-86.0811469,46237,79.6
02100895,39.9548712,-85.9961063,46037,79.5
02100900,39.1202673,-86.5293917,47401,79.5
02100901,41.6701093,-86.311082,46619,81.7
02100902,40.7461832,-86.095908,46970,79.8
02100903,41.6304983,-86.232032,46614,81.6
02100905,39.765706,-86.305982,46214,79.8
02100906,39.913772,-86.20546,46268,81.5
02100907,39.4120332,-86.4255569,46151,81.1
02100909,39.618869,-86.159976,46142,80.7
02100911,39.5077907,-87.3842228,47804,79.7
